Common Name (Scientific Name),Genus,Species,Family,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,present,Notes,# stops,total,,,,,,,,,,,,,,,,,
Rock Pigeon (Columba livia),Columba,livia,Columbidae,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,
Rose-breasted Grosbeak (Pheucticus ludovicianus) ,Pheucticus,ludovicianus,Cardinalidae,,,,,,1,,,,,,,,,,1,,,,2,2,,,,,,,,,,,,,,,,,
Ruby-crowned Kinglet (Regulus calendula),Regulus,calendula,Regulidae,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,
Ruby-Throated Hummingbird (Archilocus colubris),Archilocus,colubris,Trochilidae,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,
Sandhill Crane (Grus canadensis),Antigone,canadensis,Gruidae,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,
Savannah Sparrow (Passerculus sandwichensis),Passerculus,sandwichensis,Emberizidae,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,
Scarlet Tanager (Piranga olivacea) ,Piranga,olivacea,Cardinalidae,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,
Sedge Wren (Cistothorus platensis),Cistothorus,platensis,Troglodytidae,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,
Solitary Sandpiper (Tringa solitaria),Tringa,solitaria,Scolopacidae,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,
Song Sparrow (Melospiza melodia) ,Melospiza,melodia,Emberizidae,1,1,1,1,1,2,1,1,1,,,,3,,1,1,1,,,13,16,,,,,,,,,,,,,,,,,
Sora (Porzana carolina),Porzana,carolina,Rallidae,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,
Spotted Sandpiper (Actitis macularia),Actitis,macularia,Scolopacidae,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,
Swainson’s Thrush (Catharus ustulatus) ,Catharus,ustulatus,Turdidae,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,
